Iteration          x(i)       f(x(i))) 
     93       0.17662244       0.17570557 
     94       0.17570557       0.17480289 
     95       0.17480289       0.17391403 
     96       0.17391403       0.17303866 
     97       0.17303866       0.17217642 
     98       0.17217642       0.17132699 
     99       0.17132699       0.17049006 
    100       0.17049006       0.16966532 
    101       0.16966532       0.16885249 
    102       0.16885249       0.16805127 
    103       0.16805127       0.16726139 
    104       0.16726139       0.16648258 
    105       0.16648258       0.16571460 
    106       0.16571460       0.16495718 
    107       0.16495718       0.16421009 
    108       0.16421009       0.16347310 
    109       0.16347310       0.16274598 
    110       0.16274598       0.16202851 
    111       0.16202851       0.16132048 
    112       0.16132048       0.16062168 
    113       0.16062168       0.15993191 
    114       0.15993191       0.15925099 
    115       0.15925099       0.15857872 
    116       0.15857872       0.15791492 
    117       0.15791492       0.15725941 
    118       0.15725941       0.15661203 
    119       0.15661203       0.15597260 
    120       0.15597260       0.15534097 
    121       0.15534097       0.15471697 
    122       0.15471697       0.15410046 
    123       0.15410046       0.15349128 
    124       0.15349128       0.15288929 
    125       0.15288929       0.15229435 
    126       0.15229435       0.15170632 
    127       0.15170632       0.15112508 
    128       0.15112508       0.15055048 
    129       0.15055048       0.14998241 
    130       0.14998241       0.14942074 
    131       0.14942074       0.14886535 
    132       0.14886535       0.14831613 
    133       0.14831613       0.14777296 
    134       0.14777296       0.14723573 
    135       0.14723573       0.14670433 
    136       0.14670433       0.14617867 
    137       0.14617867       0.14565863 
    138       0.14565863       0.14514412 
    139       0.14514412       0.14463503 
    140       0.14463503       0.14413128 
    141       0.14413128       0.14363277 
    142       0.14363277       0.14313942 
    143       0.14313942       0.14265112 
    144       0.14265112       0.14216780 
    145       0.14216780       0.14168938 
    146       0.14168938       0.14121577 
    147       0.14121577       0.14074688 
    148       0.14074688       0.14028265 
    149       0.14028265       0.13982299 
    150       0.13982299       0.13936784 
    151       0.13936784       0.13891711 
    152       0.13891711       0.13847074 
    153       0.13847074       0.13802865 
    154       0.13802865       0.13759078 
    155       0.13759078       0.13715707 
    156       0.13715707       0.13672744 
    157       0.13672744       0.13630183 
    158       0.13630183       0.13588018 
    159       0.13588018       0.13546243 
    160       0.13546243       0.13504852 
    161       0.13504852       0.13463839 
    162       0.13463839       0.13423198 
    163       0.13423198       0.13382924 
    164       0.13382924       0.13343011 
    165       0.13343011       0.13303454 
    166       0.13303454       0.13264248 
    167       0.13264248       0.13225387 
    168       0.13225387       0.13186866 
    169       0.13186866       0.13148681 
    170       0.13148681       0.13110826 
    171       0.13110826       0.13073297 
    172       0.13073297       0.13036089 
    173       0.13036089       0.12999198 
    174       0.12999198       0.12962619 
    175       0.12962619       0.12926348 
    176       0.12926348       0.12890380 
    177       0.12890380       0.12854712 
    178       0.12854712       0.12819338 
    179       0.12819338       0.12784256 
    180       0.12784256       0.12749461 
    181       0.12749461       0.12714949 
    182       0.12714949       0.12680716 
    183       0.12680716       0.12646759 
    184       0.12646759       0.12613074 
    185       0.12613074       0.12579657 
    186       0.12579657       0.12546505 
    187       0.12546505       0.12513614 
    188       0.12513614       0.12480981 
    189       0.12480981       0.12448602 
    190       0.12448602       0.12416475 
    191       0.12416475       0.12384596 
    192       0.12384596       0.12352961 
    193       0.12352961       0.12321568 
    194       0.12321568       0.12290414 
    195       0.12290414       0.12259496 
    196       0.12259496       0.12228810 
    197       0.12228810       0.12198353 
    198       0.12198353       0.12168124 
    199       0.12168124       0.12138119 
    200       0.12138119       0.12108335 
    201       0.12108335       0.12078769 
    202       0.12078769       0.12049420 
    203       0.12049420       0.12020284 
    204       0.12020284       0.11991358 
    205       0.11991358       0.11962641 
    206       0.11962641       0.11934130 
    207       0.11934130       0.11905821 
    208       0.11905821       0.11877714 
    209       0.11877714       0.11849805 
    210       0.11849805       0.11822093 
    211       0.11822093       0.11794574 
    212       0.11794574       0.11767247 
    213       0.11767247       0.11740109 
    214       0.11740109       0.11713159 
    215       0.11713159       0.11686393 
    216       0.11686393       0.11659811 
    217       0.11659811       0.11633410 
    218       0.11633410       0.11607187 
    219       0.11607187       0.11581141 
    220       0.11581141       0.11555270 
    221       0.11555270       0.11529572 
    222       0.11529572       0.11504045 
    223       0.11504045       0.11478687 
    224       0.11478687       0.11453497 
    225       0.11453497       0.11428472 
    226       0.11428472       0.11403610 
    227       0.11403610       0.11378910 
    228       0.11378910       0.11354370 
    229       0.11354370       0.11329989 
    230       0.11329989       0.11305764 
    231       0.11305764       0.11281695 
    232       0.11281695       0.11257778 
    233       0.11257778       0.11234014 
    234       0.11234014       0.11210399 
    235       0.11210399       0.11186933 
    236       0.11186933       0.11163614 
    237       0.11163614       0.11140441 
    238       0.11140441       0.11117411 
    239       0.11117411       0.11094524 
    240       0.11094524       0.11071778 
    241       0.11071778       0.11049171 
    242       0.11049171       0.11026703 
    243       0.11026703       0.11004371 
    244       0.11004371       0.10982175 
    245       0.10982175       0.10960112 
    246       0.10960112       0.10938183 
    247       0.10938183       0.10916384 
    248       0.10916384       0.10894716 
    249       0.10894716       0.10873176 
    250       0.10873176       0.10851764 
    251       0.10851764       0.10830478 
    252       0.10830478       0.10809317 
    253       0.10809317       0.10788280 
    254       0.10788280       0.10767365 
    255       0.10767365       0.10746571 
    256       0.10746571       0.10725898 
    257       0.10725898       0.10705344 
    258       0.10705344       0.10684908 
    259       0.10684908       0.10664588 
    260       0.10664588       0.10644384 
    261       0.10644384       0.10624295 
    262       0.10624295       0.10604319 
    263       0.10604319       0.10584456 
    264       0.10584456       0.10564704 
    265       0.10564704       0.10545062 
    266       0.10545062       0.10525530 
    267       0.10525530       0.10506106 
    268       0.10506106       0.10486789 
    269       0.10486789       0.10467579 
    270       0.10467579       0.10448474 
    271       0.10448474       0.10429473 
    272       0.10429473       0.10410576 
    273       0.10410576       0.10391781 
    274       0.10391781       0.10373088 
    275       0.10373088       0.10354495 
    276       0.10354495       0.10336002 
    277       0.10336002       0.10317608 
    278       0.10317608       0.10299312 
    279       0.10299312       0.10281114 
    280       0.10281114       0.10263011 
    281       0.10263011       0.10245004 
    282       0.10245004       0.10227091 
    283       0.10227091       0.10209273 
    284       0.10209273       0.10191547 
    285       0.10191547       0.10173913 
    286       0.10173913       0.10156371 
    287       0.10156371       0.10138919 
    288       0.10138919       0.10121557 
    289       0.10121557       0.10104284 
    290       0.10104284       0.10087099 
    291       0.10087099       0.10070002 
    292       0.10070002       0.10052991 
    293       0.10052991       0.10036067 
    294       0.10036067       0.10019228 
    295       0.10019228       0.10002473 
    296       0.10002473       0.09985802 
    297       0.09985802       0.09969215 
    298       0.09969215       0.09952710 
    299       0.09952710       0.09936287 
    300       0.09936287       0.09919945 
    301       0.09919945       0.09903683 
    302       0.09903683       0.09887501 
    303       0.09887501       0.09871399 
    304       0.09871399       0.09855375 
    305       0.09855375       0.09839428 
    306       0.09839428       0.09823559 
    307       0.09823559       0.09807767 
    308       0.09807767       0.09792051 
    309       0.09792051       0.09776410 
    310       0.09776410       0.09760844 
    311       0.09760844       0.09745352 
    312       0.09745352       0.09729934 
    313       0.09729934       0.09714588 
    314       0.09714588       0.09699316 
    315       0.09699316       0.09684115 
    316       0.09684115       0.09668985 
    317       0.09668985       0.09653927 
    318       0.09653927       0.09638938 
    319       0.09638938       0.09624019 
    320       0.09624019       0.09609170 
    321       0.09609170       0.09594389 
    322       0.09594389       0.09579676 
    323       0.09579676       0.09565030 
    324       0.09565030       0.09550452 
    325       0.09550452       0.09535940 
    326       0.09535940       0.09521494 
    327       0.09521494       0.09507114 
    328       0.09507114       0.09492799 
    329       0.09492799       0.09478548 
    330       0.09478548       0.09464361 
    331       0.09464361       0.09450238 
    332       0.09450238       0.09436178 
    333       0.09436178       0.09422181 
    334       0.09422181       0.09408246 
    335       0.09408246       0.09394373 
    336       0.09394373       0.09380560 
    337       0.09380560       0.09366809 
    338       0.09366809       0.09353118 
    339       0.09353118       0.09339487 
    340       0.09339487       0.09325916 
    341       0.09325916       0.09312403 
    342       0.09312403       0.09298949 
    343       0.09298949       0.09285554 
    344       0.09285554       0.09272216 
    345       0.09272216       0.09258935 
    346       0.09258935       0.09245712 
    347       0.09245712       0.09232545 
    348       0.09232545       0.09219434 
    349       0.09219434       0.09206379 
    350       0.09206379       0.09193380 
    351       0.09193380       0.09180435 
    352       0.09180435       0.09167545 
    353       0.09167545       0.09154709 
    354       0.09154709       0.09141927 
    355       0.09141927       0.09129198 
    356       0.09129198       0.09116523 
    357       0.09116523       0.09103900 
    358       0.09103900       0.09091330 
    359       0.09091330       0.09078811 
    360       0.09078811       0.09066344 
    361       0.09066344       0.09053929 
    362       0.09053929       0.09041564 
    363       0.09041564       0.09029250 
    364       0.09029250       0.09016986 
    365       0.09016986       0.09004772 
    366       0.09004772       0.08992608 
    367       0.08992608       0.08980493 
    368       0.08980493       0.08968426 
    369       0.08968426       0.08956409 
    370       0.08956409       0.08944439 
    371       0.08944439       0.08932517 
    372       0.08932517       0.08920643 
    373       0.08920643       0.08908817 
    374       0.08908817       0.08897037 
    375       0.08897037       0.08885304 
    376       0.08885304       0.08873617 
    377       0.08873617       0.08861976 
    378       0.08861976       0.08850381 
    379       0.08850381       0.08838832 
    380       0.08838832       0.08827327 
    381       0.08827327       0.08815868 
    382       0.08815868       0.08804453 
    383       0.08804453       0.08793082 
    384       0.08793082       0.08781756 
    385       0.08781756       0.08770472 
    386       0.08770472       0.08759233 
    387       0.08759233       0.08748036 
    388       0.08748036       0.08736883 
    389       0.08736883       0.08725772 
    390       0.08725772       0.08714703 
    391       0.08714703       0.08703677 
    392       0.08703677       0.08692692 
    393       0.08692692       0.08681749 
    394       0.08681749       0.08670847 
    395       0.08670847       0.08659986 
    396       0.08659986       0.08649165 
    397       0.08649165       0.08638386 
    398       0.08638386       0.08627646 
    399       0.08627646       0.08616946 
    400       0.08616946       0.08606287 
    401       0.08606287       0.08595666 
    402       0.08595666       0.08585085 
    403       0.08585085       0.08574543 
    404       0.08574543       0.08564040 
    405       0.08564040       0.08553576 
    406       0.08553576       0.08543149 
    407       0.08543149       0.08532761 
    408       0.08532761       0.08522410 
    409       0.08522410       0.08512098 
    410       0.08512098       0.08501822 
    411       0.08501822       0.08491584 
    412       0.08491584       0.08481382 
    413       0.08481382       0.08471218 
    414       0.08471218       0.08461090 
    415       0.08461090       0.08450998 
    416       0.08450998       0.08440942 
    417       0.08440942       0.08430922 
    418       0.08430922       0.08420938 
    419       0.08420938       0.08410989 
    420       0.08410989       0.08401075 
    421       0.08401075       0.08391196 
    422       0.08391196       0.08381352 
    423       0.08381352       0.08371543 
    424       0.08371543       0.08361768 
    425       0.08361768       0.08352027 
    426       0.08352027       0.08342321 
    427       0.08342321       0.08332648 
    428       0.08332648       0.08323008 
    429       0.08323008       0.08313403 
    430       0.08313403       0.08303830 
    431       0.08303830       0.08294290 
    432       0.08294290       0.08284783 
    433       0.08284783       0.08275309 
    434       0.08275309       0.08265867 
    435       0.08265867       0.08256458 
    436       0.08256458       0.08247080 
    437       0.08247080       0.08237735 
    438       0.08237735       0.08228421 
    439       0.08228421       0.08219139 
    440       0.08219139       0.08209888 
    441       0.08209888       0.08200668 
    442       0.08200668       0.08191480 
    443       0.08191480       0.08182322 
    444       0.08182322       0.08173195 
    445       0.08173195       0.08164098 
    446       0.08164098       0.08155032 
    447       0.08155032       0.08145996 
    448       0.08145996       0.08136990 
    449       0.08136990       0.08128014 
    450       0.08128014       0.08119067 
    451       0.08119067       0.08110150 
    452       0.08110150       0.08101262 
    453       0.08101262       0.08092404 
    454       0.08092404       0.08083574 
    455       0.08083574       0.08074773 
    456       0.08074773       0.08066001 
    457       0.08066001       0.08057258 
    458       0.08057258       0.08048543 
    459       0.08048543       0.08039856 
    460       0.08039856       0.08031197 
    461       0.08031197       0.08022567 
    462       0.08022567       0.08013964 
    463       0.08013964       0.08005388 
    464       0.08005388       0.07996840 
    465       0.07996840       0.07988320 
    466       0.07988320       0.07979827 
    467       0.07979827       0.07971360 
    468       0.07971360       0.07962921 
    469       0.07962921       0.07954508 
    470       0.07954508       0.07946122 
    471       0.07946122       0.07937763 
    472       0.07937763       0.07929430 
    473       0.07929430       0.07921123 
    474       0.07921123       0.07912842 
    475       0.07912842       0.07904587 
    476       0.07904587       0.07896358 
    477       0.07896358       0.07888155 
    478       0.07888155       0.07879977 
    479       0.07879977       0.07871825 
    480       0.07871825       0.07863697 
    481       0.07863697       0.07855595 
    482       0.07855595       0.07847518 
    483       0.07847518       0.07839466 
    484       0.07839466       0.07831439 
    485       0.07831439       0.07823436 
    486       0.07823436       0.07815458 
    487       0.07815458       0.07807504 
    488       0.07807504       0.07799574 
    489       0.07799574       0.07791669 
    490       0.07791669       0.07783787 
    491       0.07783787       0.07775930 
    492       0.07775930       0.07768096 
    493       0.07768096       0.07760286 
    494       0.07760286       0.07752499 
    495       0.07752499       0.07744736 
    496       0.07744736       0.07736996 
    497       0.07736996       0.07729279 
    498       0.07729279       0.07721585 
    499       0.07721585       0.07713914 
    500       0.07713914       0.07706267 
